"","ID","score"
"1","PAK1",2.65766154908356
"2","MAPK10",2.13646178549166
"3","MAPK9",1.99135466032205
"4","MAPK1",1.89309163603141
"5","CAMK2A",1.59577080472736
"6","CDK1",1.34486533881124
"7","MAPK8",1.10032228267467
"8","CDK5",0.933064163307521
"9","CDK4",0.918843785804893
"10","PRKCB",0.867743596381596
"11","CDK7",0.864452126813156
"12","CDK2",0.761944997134133
"13","PRKACA",0.595615912594448
"14","GSK3B",0.262391523628486
"15","CSNK2A1",-0.41522364284799
"16","RPS6KA3",-0.683362427880874
"17","CSNK1E",-1.25003204234349
"18","CSNK2A2",-1.4178509191769
"19","MAPK14",-2.1644074316786
